// Unit, name, strength, filename
Unit,soldier,1,soldierIcon.png
Unit,car,5,carIcon.png
Unit,tank,15,tankIcon.png

// Country, name, rgb, x offset, y offset
Country,Alaska,000000050,1,-15,-30,-
Country,NW Canada,000000100,1,-30,15,-
Country,Greenland,000000150,1,0,-10,-
Country,Alberta,000000200,1,0,0,-
Country,Ontario,000000250,1,0,0,-
Country,Quebec,000050000,1,-20,-20,-
Country,W USA,000050050,1,0,0,-
Country,E USA,000050100,1,0,0,-
Country,C America,000050150,1,0,-30,-
//
Country,Venezuela,000050200,1,-20,-10,-
Country,Brazil,000050250,1,0,0,-
Country,Peru,000100000,1,10,0,-
Country,Argentina,000100050,1,-20,-30,-
//
Country,Iceland,000100100,1,-10,-10,-
Country,Great Britain,000100150,1,5,0,-
Country,Scandinavia,000100200,1,-30,0,-
Country,Ukraine,000100250,1,0,0,-
Country,N Europe,000150000,1,0,0,-
Country,W Europe,000150050,1,0,0,-
Country,S Europe,000150100,1,0,-20,-
//
Country,N Africa,000150150,1,0,0,-
Country,Egypt,000150200,1,0,0,-
Country,E Africa,000150250,1,0,0,-
Country,Congo,000200000,1,0,0,-
Country,SouthAfrica,000200050,1,-10,0,-
Country,Madagascar,000200100,1,-10,-10,-
//
Country,Ural,000200150,1,-20,20,-
Country,Siberia,000200200,1,0,0,-
Country,Yakutsk,000200250,1,0,0,-
Country,Kamchatka,000250000,1,-40,-50,-
Country,Irkutsk,000250050,1,0,0,-
Country,Mongolia,000250100,1,0,0,-
Country,Japan,000250150,1,10,0,-
Country,Afghanistan,000250200,1,0,0,-
Country,China,000250250,1,0,0,-
Country,Middle East,050000000,1,0,0,-
Country,India,050000050,1,0,0,-
Country,Siam,050000100,1,-10,-30,-
//
Country,Indonesia,050000150,1,10,-10,-
Country,New Guinea,050000200,1,0,0,-
Country,W Australia,050000250,1,0,0,-
Country,E Australia,050050000,1,30,0,-

// Continent, name, hazard, countries
Continent,NorthAmerica,Hurricane,Alaska-NW Canada-Greenland-Alberta-Ontario-Quebec-W USA-E USA-C America
Continent,SouthAmerica,Tornado,Venezuela-Brazil-Peru-Argentina
Continent,Europe,Tsunami,Iceland-Great Britain-Scandinavia-Ukraine-N Europe-W Europe-S Europe
Continent,Africa,Hurricane,N Africa-Egypt-E Africa-Congo-SouthAfrica-Madagascar
Continent,Asia,Volcanic Eruption,Ural-Siberia-Yakutsk-Kamchatka-Irkutsk-Mongolia-Japan-Afghanistan-China-Middle East-India-Siam
Continent,Australia,Tsunami,Indonesia-New Guinea-W Australia-E Australia

// Link, country1, country2, default state, current state, duration
Link,Alaska,NW Canada,Open,Open,0
Link,NW Canada,Alaska,Open,Open,0
Link,Alaska,Alberta,Open,Open,0
Link,Alberta,Alaska,Open,Open,0
Link,NW Canada,Alberta,Open,Open,0
Link,Alberta,NW Canada,Open,Open,0
Link,NW Canada,Greenland,Open,Open,0
Link,Greenland,NW Canada,Open,Open,0
Link,NW Canada,Ontario,Open,Open,0
Link,Ontario,NW Canada,Open,Open,0
Link,Greenland,Ontario,Open,Open,0
Link,Ontario,Greenland,Open,Open,0
Link,Greenland,Iceland,Open,Open,0
Link,Iceland,Greenland,Open,Open,0
Link,Greenland,Quebec,Open,Open,0
Link,Quebec,Greenland,Open,Open,0
Link,Alberta,Ontario,Open,Open,0
Link,Ontario,Alberta,Open,Open,0
Link,Alberta,W USA,Open,Open,0
Link,W USA,Alberta,Open,Open,0
Link,Ontario,Quebec,Open,Open,0
Link,Quebec,Ontario,Open,Open,0
Link,Ontario,E USA,Open,Open,0
Link,E USA,Ontario,Open,Open,0
Link,Ontario,W USA,Open,Open,0
Link,W USA,Ontario,Open,Open,0
Link,Quebec,E USA,Open,Open,0
Link,E USA,Quebec,Open,Open,0
Link,W USA,E USA,Open,Open,0
Link,E USA,W USA,Open,Open,0
Link,W USA,C America,Open,Open,0
Link,C America,W USA,Open,Open,0
Link,E USA,C America,Open,Open,0
Link,C America,E USA,Open,Open,0
Link,C America,Venezuela,Open,Open,0
Link,Venezuela,C America,Open,Open,0
Link,Venezuela,Peru,Open,Open,0
Link,Peru,Venezuela,Open,Open,0
Link,Venezuela,Brazil,Open,Open,0
Link,Brazil,Venezuela,Open,Open,0
Link,Peru,Argentina,Open,Open,0
Link,Argentina,Peru,Open,Open,0
Link,Peru,Brazil,Open,Open,0
Link,Brazil,Peru,Open,Open,0
Link,Argentina,Brazil,Open,Open,0
Link,Brazil,Argentina,Open,Open,0
Link,Brazil,N Africa,Open,Open,0
Link,N Africa,Brazil,Open,Open,0
Link,N Africa,W Europe,Open,Open,0
Link,W Europe,N Africa,Open,Open,0
Link,N Africa,S Europe,Open,Open,0
Link,S Europe,N Africa,Open,Open,0
Link,N Africa,Egypt,Open,Open,0
Link,Egypt,N Africa,Open,Open,0
Link,N Africa,E Africa,Open,Open,0
Link,E Africa,N Africa,Open,Open,0
Link,N Africa,Congo,Open,Open,0
Link,Congo,N Africa,Open,Open,0
Link,SouthAfrica,Congo,Open,Open,0
Link,Congo,SouthAfrica,Open,Open,0
Link,Congo,E Africa,Open,Open,0
Link,E Africa,Congo,Open,Open,0
Link,Madagascar,SouthAfrica,Open,Open,0
Link,SouthAfrica,Madagascar,Open,Open,0
Link,Madagascar,E Africa,Open,Open,0
Link,E Africa,Madagascar,Open,Open,0
Link,E Africa,Middle East,Open,Open,0
Link,Middle East,E Africa,Open,Open,0
Link,E Africa,Egypt,Open,Open,0
Link,Egypt,E Africa,Open,Open,0
Link,E Africa,SouthAfrica,Open,Open,0
Link,SouthAfrica,E Africa,Open,Open,0
Link,Egypt,Middle East,Open,Open,0
Link,Middle East,Egypt,Open,Open,0
Link,Egypt,S Europe,Open,Open,0
Link,S Europe,Egypt,Open,Open,0
Link,W Europe,Great Britain,Open,Open,0
Link,Great Britain,W Europe,Open,Open,0
Link,W Europe,S Europe,Open,Open,0
Link,S Europe,W Europe,Open,Open,0
Link,W Europe,N Europe,Open,Open,0
Link,N Europe,W Europe,Open,Open,0
Link,Great Britain,Iceland,Open,Open,0
Link,Iceland,Great Britain,Open,Open,0
Link,Great Britain,Scandinavia,Open,Open,0
Link,Scandinavia,Great Britain,Open,Open,0
Link,Great Britain,N Europe,Open,Open,0
Link,N Europe,Great Britain,Open,Open,0
Link,Iceland,Scandinavia,Open,Open,0
Link,Scandinavia,Iceland,Open,Open,0
Link,Scandinavia,Ukraine,Open,Open,0
Link,Ukraine,Scandinavia,Open,Open,0
Link,N Europe,Scandinavia,Open,Open,0
Link,Scandinavia,N Europe,Open,Open,0
Link,S Europe,N Europe,Open,Open,0
Link,N Europe,S Europe,Open,Open,0
Link,N Europe,Ukraine,Open,Open,0
Link,Ukraine,N Europe,Open,Open,0
Link,S Europe,Ukraine,Open,Open,0
Link,Ukraine,S Europe,Open,Open,0
Link,S Europe,Middle East,Open,Open,0
Link,Middle East,S Europe,Open,Open,0
Link,Ukraine,Middle East,Open,Open,0
Link,Middle East,Ukraine,Open,Open,0
Link,Ukraine,Afghanistan,Open,Open,0
Link,Afghanistan,Ukraine,Open,Open,0
Link,Ukraine,Ural,Open,Open,0
Link,Ural,Ukraine,Open,Open,0
Link,Ural,Siberia,Open,Open,0
Link,Siberia,Ural,Open,Open,0
Link,Ural,China,Open,Open,0
Link,China,Ural,Open,Open,0
Link,Ural,Afghanistan,Open,Open,0
Link,Afghanistan,Ural,Open,Open,0
Link,Siberia,Yakutsk,Open,Open,0
