// Country, name, rgb, x offset, y offset
Country,Alaska,000000050,-15,-30
Country,NorthWestTerritory,000000100,-30,15
Country,Greenland,000000150,0,-10
Country,Alberta,000000200,0,0
Country,Ontario,000000250,0,0
Country,Quebec,000050000,-20,-20
Country,WestUS,000050050,0,0
Country,EastUS,000050100,0,0
Country,CentralAmerica,000050150,0,-30
//
Country,Venezuela,000050200,-20,-10
Country,Brazil,000050250,0,0
Country,Peru,000100000,10,0
Country,Argentina,000100050,-20,-30
//
Country,Iceland,000100100,-10,-10
Country,GreatBritain,000100150,5,0
Country,Scandinavia,000100200,-30,0
Country,Ukraine,000100250,0,0
Country,NorthEurope,000150000,0,0
Country,WestEurope,000150050,0,0
Country,SouthEurope,000150100,0,-20
//
Country,NorthAfrica,000150150,0,0
Country,Egypt,000150200,0,0
Country,EastAfrica,000150250,0,0
Country,Congo,000200000,0,0
Country,SouthAfrica,000200050,-10,0
Country,Madagascar,000200100,-10,-10
//
Country,Ural,000200150,-20,20
Country,Siberia,000200200,0,0
Country,Yakutsk,000200250,0,0
Country,Kamchatka,000250000,-40,-50
Country,Irkutsk,000250050,0,0
Country,Mongolia,000250100,0,0
Country,Japan,000250150,10,0
Country,Afghanistan,000250200,0,0
Country,China,000250250,0,0
Country,MiddleEast,050000000,0,0
Country,India,050000050,0,0
Country,Siam,050000100,-10,-30
//
Country,Indonesia,050000150,10,-10
Country,NewGuinea,050000200,0,0
Country,WestAustralia,050000250,0,0
Country,EastAustralia,050050000,30,0

// Continent, name, hazard, countries
Continent,NorthAmerica,Tsunami,Alaska-NorthWestTerritory-Greenland-Alberta-Ontario-Quebec-WestUS-EastUS-CentralAmerica
Continent,SouthAmerica,Tsunami,Venezuela-Brazil-Peru-Argentina
Continent,Europe,Tsunami,Iceland-GreatBritain-Scandinavia-Ukraine-NorthEurope-WestEurope-SouthEurope
Continent,Africa,Tsunami,NorthAfrica-Egypt-EastAfrica-Congo-SouthAfrica-Madagascar
Continent,Asia,Tsunami,Ural-Siberia-Yakutsk-Kamchatka-Irkutsk-Mongolia-Japan-Afghanistan-China-MiddleEast-India-Siam
Continent,Australia,Tsunami,Indonesia-NewGuinea-WestAustralia-EastAustralia

// Link, country1, country2
Link,Alaska,Kamchatka
Link,Alaska,NorthWestTerritory
Link,Alaska,Alberta
Link,NorthWestTerritory,Alberta
Link,NorthWestTerritory,Greenland
Link,NorthWestTerritory,Ontario
Link,Greenland,Ontario
Link,Greenland,Iceland
Link,Greenland,Quebec
Link,Alberta,Ontario
Link,Alberta,WestUS
Link,Ontario,Quebec
Link,Ontario,EastUS
Link,Quebec,EastUS
Link,WestUS,EastUS
Link,WestUS,CentralAmerica
Link,EastUS,CentralAmerica
Link,CentralAmerica,Venezuela
Link,Venezuela,Peru
Link,Venezuela,Brazil
Link,Peru,Argentina
Link,Peru,Brazil
Link,Argentina,Brazil
Link,Brazil,NorthAmerica
Link,NorthAfrica,WestEurope
Link,NorthAfrica,SouthEurope
Link,NorthAfrica,Egypt
Link,NorthAfrica,EastAfrica
Link,NorthAfrica,Congo
Link,Congo,SouthAfrica
Link,Congo,EastAfrica
Link,Madagascar,SouthAfrica
Link,Madagascar,EastAfrica
Link,EastAfrica,MiddleEast
Link,EastAfrica,Egypt
Link,EastAfrica,SouthAfrica
Link,Egypt,MiddleEast
Link,Egypt,SouthEurope
Link,WestEurope,GreatBritain
Link,WestEurope,SouthEurope
Link,WestEurope,NorthEurope
Link,GreatBritain,Iceland
Link,GreatBritain,Scandinavia
Link,GreatBritain,NorthEurope
Link,Iceland,Scandinavia
Link,Scandinavia,Ukraine
Link,Scandinavia,NorthEurope
Link,NorthEurope,SouthEurope
Link,NorthEurope,Ukraine
Link,SouthEurope,Ukraine
Link,SouthEurope,MiddleEast
Link,Ukraine,MiddleEast
Link,Ukraine,Afghanistan
Link,Ukraine,Ural
Link,Ural,Siberia
Link,Ural,China
Link,Ural,Afghanistan
Link,Siberia,Yakutsk
Link,Siberia,Irkutsk
Link,Siberia,Mongolia
Link,Siberia,China
Link,Yakutsk,Kamchatka
Link,Yakutsk,Irkutsk
Link,Kamchatka,Japan
Link,Kamchatka,Irkutsk
Link,Japan,Mongolia
Link,Mongolia,China
Link,Irkutsk,Mongolia
Link,Afghanistan,China
Link,Afghanistan,India
Link,Afghanistan,MiddleEast
Link,MiddleEast,India
Link,India,China
Link,India,Siam
Link,China,Siam
Link,Siam,Indonesia
Link,Indonesia,NewGuinea
Link,Indonesia,WestAustralia
Link,WestAustralia,NewGuinea
Link,WestAustralia,EastAustralia
Link,NewGuinea,EastAustralia
